Timestamp,NGTL-Field Receipts,Groundbirch East Receipt,Gordondale Receipt,Total Receipts,Intraprovincial Demand,Empress Border Flow,Mcneil Border Flow,Alberta-BC Border Flow,Willow Valley Interconnect,Total Deliveries,Current Linepack,Linepack 4Hr Roc,Net Storage Flow,Flow Differential,Linepack Target
2026-08-01 11:29:47,13890,221,112,14223,5136,4084,625,1832,84,13552,20082,58,-1173,672,20659
2026-08-01 12:00:51,13758,224,112,14131,5130,4029,613,1837,85,13404,20090,74,-1070,727,20659
2026-08-01 12:29:46,13895,222,113,14266,5131,4056,615,1837,85,13439,20100,180,-1072,827,20659
2026-08-01 13:00:52,13781,224,112,14151,5070,3892,551,1842,84,13148,20113,267,-1030,1003,20659
2026-08-01 13:29:43,13725,226,113,14098,5077,3682,477,1844,86,12845,20129,342,-1038,1253,20659
2026-08-01 14:00:51,13765,223,112,14134,5085,3827,597,1886,85,13132,20144,409,-1028,1002,20659
2026-08-01 14:29:43,13644,223,111,14011,5123,3778,607,1917,83,13066,20155,482,-920,946,20659
2026-08-01 15:00:52,13611,228,111,13980,5102,3803,628,1977,84,13096,20171,562,-872,885,20659
2026-08-01 15:29:45,13604,221,113,13969,5086,3792,634,2151,86,13169,20193,666,-796,800,20659
2026-08-01 16:00:49,13637,221,112,14002,5106,3801,640,1994,86,13020,20209,710,-765,982,20659
2026-08-01 16:29:45,13573,223,113,13937,5116,3819,650,2221,86,13196,20228,768,-674,741,20659
2026-08-01 17:01:11,13563,225,112,13928,5079,3851,660,2059,86,13019,20249,817,-671,908,20659
2026-08-01 17:29:44,13659,223,111,14020,5060,3868,658,2180,86,13161,20268,832,-672,859,20659
2026-08-01 18:00:55,13737,223,112,14099,5082,3881,671,2213,84,13244,20288,862,-667,855,20659
2026-08-01 18:29:41,13744,224,112,14108,5115,3894,672,2290,87,13346,20309,926,-662,762,20659
2026-08-01 19:00:59,13766,225,113,14130,5091,3996,669,2281,84,13403,20327,933,-658,726,20659
2026-08-01 19:29:55,13786,226,112,14153,5087,4058,669,2315,87,13752,20348,929,-915,401,20659
2026-08-01 20:01:14,13829,222,113,14196,5149,4127,667,2825,85,14634,20361,912,-1135,-439,20659
2026-08-01 20:29:50,13857,223,113,14193,5140,4149,667,2814,80,14736,20358,781,-1248,-544,20659
2026-08-01 21:01:21,14012,220,122,14354,5162,4169,666,2741,86,14659,20350,615,-1232,-305,20659
2026-08-01 21:29:49,14002,221,111,14333,5123,4234,672,2682,86,14640,20345,462,-1232,-306,20659
2026-08-01 22:00:48,14048,222,114,14383,5127,4374,672,2646,86,14736,20337,296,-1224,-353,20659
2026-08-01 22:29:55,14008,221,114,14343,5118,4379,674,2624,86,14706,20328,114,-1220,-363,20659
2026-08-01 23:00:54,14060,221,114,14395,5129,4351,677,2552,85,14632,20319,-44,-1219,-237,20659
2026-08-01 23:29:42,14094,220,114,14428,5155,4324,671,2564,87,14638,20315,-198,-1217,-210,20659
2026-08-02 00:01:05,14057,222,115,14393,5166,4309,669,2394,87,14443,20311,-297,-1210,-50,20659
2026-08-02 00:29:53,14074,221,114,14408,5162,4308,674,2457,80,14512,20314,-268,-1207,-104,20659
2026-08-02 01:01:02,14068,222,113,14403,5112,4288,678,2504,86,14507,20312,-230,-1205,-86,20659
2026-08-02 01:29:45,14136,222,113,14470,5112,4273,676,2513,87,14498,20312,-199,-1211,-28,20659
2026-08-02 02:00:48,14128,221,113,14463,5155,4285,677,2511,87,14555,20311,-158,-1210,-92,20659
2026-08-02 02:29:45,14107,220,113,14440,5162,4314,672,2497,84,14571,20310,-106,-1212,-131,20659
2026-08-02 03:00:54,14101,226,114,14441,5138,4312,670,2498,86,14552,20310,-56,-1213,-110,20659
2026-08-02 03:29:46,14114,225,113,14452,5130,4308,676,2481,86,14528,20310,-28,-1213,-75,20659
2026-08-02 04:00:58,14216,222,114,14553,5178,4337,679,2487,85,14610,20312,4,-1210,-57,20659
2026-08-02 04:29:44,14213,222,113,14548,5126,4337,677,2497,85,14569,20313,-7,-1211,-21,20659
2026-08-02 05:00:51,14123,220,113,14456,5145,4352,686,2500,87,14604,20314,15,-1206,-148,20659
2026-08-02 05:29:43,14124,224,117,14465,5119,4383,684,2506,77,14615,20314,11,-1206,-150,20659
2026-08-02 06:00:47,14201,223,92,14516,5151,4460,677,2500,84,14677,20311,1,-1201,-161,20659
2026-08-02 06:29:43,14214,222,123,14559,5113,4478,648,2508,86,14684,20309,-6,-1210,-124,20659
2026-08-02 07:00:59,14207,221,119,14547,5139,4456,644,2514,86,14664,20305,-29,-1200,-117,20659
2026-08-02 07:29:48,14212,222,119,14554,5069,4430,645,2500,95,14593,20299,-66,-1222,-39,20659
2026-08-02 08:01:06,14199,220,118,14541,5065,4379,649,2465,87,14489,20295,-100,-1212,53,20659
2026-08-02 08:29:48,14215,212,119,14546,5112,4356,644,2320,86,14362,20293,-119,-1210,183,20659
2026-08-02 09:00:57,14191,194,119,14504,5050,4330,647,2336,83,14289,20293,-131,-1200,214,20659
2026-08-02 09:29:58,13840,182,120,14141,5080,4326,640,2376,79,14354,20287,-157,-1228,-213,20659
2026-08-02 10:01:06,13778,180,120,14077,5044,4326,638,2302,82,14214,20278,-198,-1203,-136,20659
2026-08-02 10:29:57,13841,177,111,14128,5072,4316,636,2410,82,14329,20270,-234,-1210,-200,20659
2026-08-02 11:01:04,13904,179,110,14193,5058,4321,634,2222,82,14234,20262,-259,-1287,-41,20659
2026-08-02 11:29:53,13989,180,75,14244,5061,4303,633,2506,79,14525,20259,-242,-1289,-281,20659
2026-08-02 12:00:55,14075,176,75,14325,5105,4289,630,2470,77,14503,20253,-253,-1279,-209,20659
2026-08-02 12:29:46,14114,179,75,14368,5061,4098,609,2447,82,14235,20251,-251,-1285,133,20659
2026-08-02 13:00:49,14098,175,74,14349,5119,4261,626,2436,81,14442,20248,-270,-1290,-93,20659
2026-08-02 13:29:41,14187,177,79,14443,5073,4273,628,2412,81,14410,20243,-264,-1288,34,20659
2026-08-02 14:00:49,14142,174,74,14394,5073,4179,622,2437,81,14086,20240,-223,-1025,308,20659
2026-08-02 14:29:43,14167,176,75,14418,5105,4272,619,2438,83,14420,20241,-178,-1255,-3,20659
