Outage Id,Table,Start,End,Capability,Typical Flow,Type of Restriction,Area for Stated Capability,Other Restricted Segments,Description,UID,Local Base Capability,Local Outage Capability
20721549,USJR,05-Aug-26,12-Aug-26,366000,340000-385000, Potential impact to FT-R, USJR,, Otter Lake - Compressor Station Maintenance,207215491,N/A,N/A
20216804,USJR,17-Aug-26,21-Aug-26,370000,250000-295000, Potential impact to FT-R," Segments 2, 3, 4, 5 and partial 7 (Upstream of Edson) ",, Latornell A1 - Compressor Station Maintenance,202168041,288000,278000
20216752,USJR,24-Aug-26,28-Aug-26,368000,340000-385000, Potential impact to FT-R, USJR,, Goodfish - Compressor Station Maintenance ,202167523,N/A,N/A
20217076,USJR,30-Aug-26,31-Aug-26,369000,340000-385000, Potential impact to FT-R, USJR,, Knight - Compressor Station Maintenance,202170761,N/A,N/A
20217076,USJR,01-Sep-26,03-Sep-26,371000,340000-385000, Potential impact to FT-R, USJR,, Knight - Compressor Station Maintenance,202170762,N/A,N/A
20216789,USJR,08-Sep-26,30-Sep-26,378000,340000-385000, Potential impact to FT-R, USJR,, Alces River - Compressor Station Maintenance,202167891,N/A,N/A
20218699,USJR,22-Sep-26,25-Sep-26,370000,340000-385000, Potential impact to FT-R, USJR,, Otter Lake - Compressor Station Maintenance,202186993,N/A,N/A
20216786,USJR,28-Sep-26,30-Sep-26,365000,340000-385000, Potential impact to FT-R, USJR,, Meikle River C - Compressor Station Maintenance,202167864,N/A,N/A
20216786,USJR,01-Oct-26,02-Oct-26,368000,340000-385000, Potential impact to FT-R, USJR ,, Meikle River C - Compressor Station Maintenance,202167865,N/A,N/A
20216789,USJR,01-Oct-26,02-Oct-26,381000,340000-385000, Potential impact to FT-R, USJR, , Alces River - Compressor Station Maintenance,202167894,N/A,N/A
20219161,USJR,04-Oct-26,05-Oct-26,375000,340000-385000, Potential impact to FT-R, USJR,, Swartz Creek A2 - Compressor Station Maintenance,202191611,N/A,N/A
20218711,USJR,07-Oct-26,08-Oct-26,367000,340000-385000, Potential impact to FT-R, USJR,, Meikle River D5  - Compressor Station Maintenance ,202187113,N/A,N/A
20217018,USJR,13-Oct-26,23-Oct-26,378000,340000-385000, Potential impact to FT-R, USJR,, Nordegg B - Compressor Station Maintenance,202170181,N/A,N/A
20216753,USJR,13-Oct-26,26-Oct-26,377000,340000-385000, Potential impact to FT-R, USJR ,, Gold Creek B3 - Compressor Station Maintenance,202167531,N/A,N/A
20685235,LCLR,01-Aug-26,04-Sep-26,1250,1200-1500, Potential impact to FT-R," Segments 13, 24, partial 6 (Mitsue, Nipisi, Smith, Figure Lake)",, NPS 20 Marten Hills Lateral - Pipeline Maintenance,206852351,,
20438609,LCLR,04-Aug-26,06-Aug-26,0,10,,Atlee Buffalo,, NPS 6 Atlee Buffalo Lateral - Pipeline Modifications,204386091,,
20721952,LCLR,06-Aug-26,06-Aug-26,0,20,,Welling,,Welling - Meter Station Maintenance,207219521,,
20216815,LCLR,10-Aug-26,14-Aug-26,152000,135000-165000, Potential impact to FT-R, Segment 4,, Saddle Hills B3 - Compressor Station Maintenance,202168151,,
20096127,LCLR,17-Aug-26,20-Aug-26,0,2500,,Crammond,,Crammond - Meter Station Maintenance,200961271,,
20692742,LCLR,18-Aug-26,18-Aug-26,0,30,,Hoole,,Hoole - Meter Station Maintenance,206927421,,
20137307,LCLR,19-Aug-26,26-Aug-26,250,150-290,,Ferrier South B,, NPS 8 Ferrier South Lateral - Pipeline Maintenance,201373071,,
20471338,LCLR,25-Aug-26,29-Aug-26,0,0,,Craigmyle,," NPS 8 Delia Lateral, Craigmyle Lat Loops - Pipeline Maintenance",204713381,,
20216816,LCLR,31-Aug-26,04-Sep-26,153000,135000-165000, Potential impact to FT-R, Segment 4,, Saddle Hills C4 - Compressor Station Maintenance,202168161,,
20614447,LCLR,12-Sep-26,26-Sep-26,100,500,,"Mitsue, Nipisi",, NPS 8 Mitsue Lateral - Pipeline Modifications,206144471,,
19731861,LCLR,13-Sep-26,08-Oct-26,3788,5000,,Gold Creek South Summary,, NPS 36 Grande Prairie Mainline - Pipeline Maintenance,197318611,,
20609716,LCLR,14-Sep-26,14-Sep-26,0,60,,Strome Holberg,, Strome Holberg - Meter Station Maintenance,206097161,,
20641790,LCLR,16-Sep-26,16-Sep-26,0,350,,Eta Lake,,Eta Lake - Meter Station Maintenance,206417901,,
20619258,LCLR,16-Sep-26,16-Sep-26,0,60,,Hays,,Hays - Meter Station Maintenance,206192581,,
20609711,LCLR,16-Sep-26,16-Sep-26,0,2200,,Brainard Lake,, Brainard Lake - Meter Station Maintenance,206097111,,
20608768,LCLR,17-Sep-26,17-Sep-26,0,650,,Kersey #2,,Kersey #2 - Meter Station Maintenance,206087681,,
20216822,LCLR,20-Sep-26,26-Sep-26,122000,90000-130000, Potential impact to FT-R, Partial Segment 4 (Upstream of Groundbirch),, Saturn - Compressor Station Maintenance,202168221,,
20573247,LCLR,21-Sep-26,26-Sep-26,0,40,,Murray Lake,, NPS 10 Etzikom Lateral - Pipeline Modifications,205732471,,
20685900,LCLR,22-Sep-26,22-Sep-26,0,30,,Medicine Hat NW,, Medicine Hat NW - Meter Station Maintenance,206859001,,
20691966,LCLR,23-Sep-26,23-Sep-26,0,0,,Aeco C,,Aeco C - Meter Station Maintenance,206919661,,
20137207,LCLR,29-Sep-26,08-Oct-26,0,70,, Provost Kessler,, NPS 8 Kessler Lateral - Pipeline Maintenance,201372071,,
20721651,LCLR,14-Oct-26,30-Oct-26,100,500,,"Mitsue, Nipisi",, NPS 8 Mitsue Lateral - Pipeline Modifications,207216511,,
20170321,LCLR,26-Oct-26,29-Oct-26,0,70,,Grizzly,, NPS 12 Bigstone Lateral - Pipeline Maintenance,201703211,,
20721549,WGAT,05-Aug-26,12-Aug-26,87000,, No impact to FT-D anticipated, Alberta/BC and Alberta/Montana Borders, Segments 22 and partial 21, Otter Lake - Compressor Station Maintenance,207215493,,
20216804,WGAT,17-Aug-26,21-Aug-26,87000,, No impact to FT-D anticipated, Alberta/BC and Alberta/Montana Borders, Segments 22 and partial 21 , Latornell A1 - Compressor Station Maintenance,202168042,,
20216955,WGAT,18-Aug-26,19-Aug-26,76000,, Potential Impact to FT-D, Alberta/BC and Alberta/Montana Borders,, Burton Creek A3 - Compressor Station Maintenance,202169551,,
20216752,WGAT,24-Aug-26,28-Aug-26,87000,, No impact to FT-D anticipated, Alberta/BC and Alberta/Montana Borders, Segments 22 and partial 21 , Goodfish - Compressor Station Maintenance ,202167525,,
20217076,WGAT,30-Aug-26,03-Sep-26,87000,, No impact to FT-D anticipated, Alberta/BC and Alberta/Montana Borders, Segments 22 and partial 21, Knight - Compressor Station Maintenance,202170764,,
20216789,WGAT,08-Sep-26,02-Oct-26,87000,, No impact to FT-D anticipated, Alberta/BC and Alberta/Montana Borders, Segments 22 and partial 21 , Alces River - Compressor Station Maintenance,202167892,,
20218699,WGAT,22-Sep-26,25-Sep-26,87000,, No impact to FT-D anticipated, Alberta/BC and Alberta/Montana Borders, Segments 22 and partial 21, Otter Lake - Compressor Station Maintenance,202186995,,
20216786,WGAT,28-Sep-26,02-Oct-26,87000,, No impact to FT-D anticipated, Alberta/BC and Alberta/Montana Borders, Segments 22 and partial 21 , Meikle River C - Compressor Station Maintenance,202167867,,
20219161,WGAT,04-Oct-26,05-Oct-26,87000,, No impact to FT-D anticipated, Alberta/BC and Alberta/Montana Borders, Segments 22 and partial 21, Swartz Creek A2 - Compressor Station Maintenance,202191613,,
20218711,WGAT,07-Oct-26,08-Oct-26,87000,, No impact to FT-D anticipated, Alberta/BC and Alberta/Montana Borders, Segments 22 and partial 21 , Meikle River D5  - Compressor Station Maintenance ,202187115,,
20217018,WGAT,13-Oct-26,23-Oct-26,87000,, No impact to FT-D anticipated, Alberta/BC and Alberta/Montana Borders, Segments 22 and partial 21, Nordegg B - Compressor Station Maintenance,202170183,,
20216753,WGAT,13-Oct-26,26-Oct-26,87000,, No impact to FT-D anticipated, Alberta/BC and Alberta/Montana Borders, Segments 22 and partial 21 , Gold Creek B3 - Compressor Station Maintenance,202167533,,
20216862,WGAT,14-Oct-26,20-Oct-26,76000,, Potential Impact to FT-D, Alberta/BC and Alberta/Montana Borders, Segments 22 and partial 21, Turner Valley A1 & A2 - Compressor Station Maintenance,202168621,,
20216958,FHZ8,05-Aug-26,12-Aug-26,65000,, Potential Impact to FT, Alberta/BC Border, Foothills BC, Crowsnest A - Compressor Station Maintenance ,202169581,,
20163677,FHZ8,06-Aug-26,09-Aug-26,60000,, Potential Impact to FT, Alberta/BC Border, Foothills BC, NPS 36 British Columbia Mainline - Pipeline Maintenance,201636771,,
20216997,FHZ8,14-Sep-26,17-Sep-26,72000,, Potential Impact to FT, Alberta/BC Border, Foothills BC, Elko - Compressor Station Maintenance,202169971,,
20721549,EGAT,05-Aug-26,12-Aug-26,148000,, No impact to FT-D anticipated, Empress/McNeill Borders," Segments 6, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, partial 21, 23, 24, partial 28", Otter Lake - Compressor Station Maintenance,207215492,,
20216804,EGAT,17-Aug-26,21-Aug-26,148000,, No impact to FT-D anticipated, Empress/McNeill Borders," Segments 15, 16, 17, 18, 19, 20, partial 21, 23, partial 28 ", Latornell A1 - Compressor Station Maintenance,202168043,,
20216752,EGAT,24-Aug-26,28-Aug-26,148000,, No impact to FT-D anticipated, Empress/McNeill Borders," Segments 6, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, partial 21, 23, 24, partial 28 ", Goodfish - Compressor Station Maintenance ,202167524,,
19994714,EGAT,29-Aug-26,31-Aug-26,154000,, No impact to FT-D anticipated, Empress/McNeill Borders," Segments 15, 16, 17, 18, 19, 20, 23, partial 21, and partial 28", Didsbury - Compressor Station Maintenance,199947141,,
20217076,EGAT,30-Aug-26,03-Sep-26,148000,, No impact to FT-D anticipated, Empress/McNeill Borders," Segments 15, 16, 17, 18, 19, 20, partial 21, 23, partial 28", Knight - Compressor Station Maintenance,202170763,,
19994714,EGAT,01-Sep-26,04-Sep-26,155000,, No impact to FT-D anticipated, Empress/McNeill Borders," Segments 15, 16, 17, 18, 19, 20, 23, partial 21, and partial 28", Didsbury - Compressor Station Maintenance,199947142,,
20216789,EGAT,08-Sep-26,02-Oct-26,154000,, No impact to FT-D anticipated, Empress/McNeill Borders," Segments 6, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, partial 21, 23, 24, partial 28 ", Alces River - Compressor Station Maintenance,202167893,,
