operator,rate_now,rate_year_ago,new_well_rate,new_wells,growth_pct,from_new_wells_pct,share_of_ab_pct
CANADIAN NATURAL RESOURCES LIMITED,2113.7980957880004,1737.8392121760003,457.15915047866673,564.0,21.633697811505282,21.627380183074813,15.99246489364717
TOURMALINE OIL CORP.,1610.039315208667,1699.7072231256668,436.9045220093334,133.0,-5.275491372690977,27.136264182015267,12.18115262624815
OVINTIV CANADA ULC,1018.7768292440002,560.4592388896667,297.5149290803334,100.0,81.77536537042596,29.203150340699164,7.707809326070992
PEYTO EXPLORATION & DEVELOPMENT CORP.,794.0004117633334,739.4985289593334,278.0885480416667,78.0,7.370113755425356,35.02372844166183,6.007207469799913
ARC RESOURCES LTD.,714.8333298913334,625.0090955690001,190.19084832000001,106.0,14.371668341971633,26.606320713796627,5.408249234340593
CENOVUS ENERGY INC.,704.5197894720001,712.3361097386668,121.97944582900001,279.0,-1.0972798037059084,17.31384237203856,5.33021958079229
WHITECAP RESOURCES INC.,565.8176560363335,449.72505298166675,209.91022365300003,81.0,25.81412849583884,37.098563718117845,4.280834114855939
WHITECAP PARTNERSHIP,481.85954653100003,477.20024272866675,140.8626867816667,81.0,0.9763833680576095,29.233142270556716,3.6456281689917063
BIRCHCLIFF ENERGY LTD.,463.5733594396667,425.85196263466673,138.046928035,29.0,8.857866140060677,29.778874308450543,3.507279475386798
TAQA NORTH LTD.,386.38731452200005,362.08303168800006,95.65798733100002,31.0,6.712350678432921,24.757020672207773,2.9233092674066983
VERMILION ENERGY INC.,345.8546321656667,361.3652015526667,97.48540534033334,37.0,-4.292214446868758,28.18681500082878,2.6166491843454707
ADVANTAGE ENERGY LTD.,300.653111038,414.88604199066674,112.58467618800002,29.0,-27.533568110550345,37.44670254676669,2.274665841085727
SPARTAN DELTA CORP.,223.38725489833337,177.7538349896667,75.38887983466667,37.0,25.672256191445577,33.74806672340246,1.6900918014679238
EMBER RESOURCES INC.,220.92523173000004,213.9771822206667,0.5889314803333334,12.0,3.2470983294695888,0.2665750198479302,1.6714647532340483
