BA_NAME,INSTA_TYPE,PLINSTATUS,Count
NOVA Gas Transmission Ltd.,Meter Station,Operating,947
Pembina Pipeline Corporation,Pump Station,Operating,226
Bow River Gas Co-Op Ltd.,Regulator Station,Operating,140
Ste Anne Natural Gas Co-Op Limited,Regulator Station,Operating,125
Forty Mile Gas Co-op Ltd.,Regulator Station,Operating,123
West Parkland Gas Co-Op Ltd.,Regulator Station,Operating,110
Enbridge Pipelines (Athabasca) Inc.,Pump Station,Operating,106
County of Vermilion River Co-op,Regulator Station,Operating,106
Apex Utilities Inc.,Regulator Station,Operating,103
Ipc Canada Ltd.,Meter Station,Operating,91
Ankerton Gas Co-Op Ltd,Regulator Station,Operating,85
NOVA Gas Transmission Ltd.,Compressor Station,Operating,82
TRL Gas Co-Op Ltd.,Regulator Station,Operating,80
Cold Lake Pipeline Ltd.,Pump Station,Operating,77
North Peace Gas Co-Operative Ltd.,Regulator Station,Operating,72
Canadian Natural Resources Limited,Meter Station,Operating,70
Inter Pipeline Ltd.,Pump Station,Operating,69
Apex Utilities Inc.,Meter Regulator Stn.,Operating,68
Plains Midstream Canada ULC,Pump Station,Operating,65
East Peace Gas Co-Op Ltd.,Regulator Station,Operating,54
Foothills Natural Gas Co-op Ltd.,Regulator Station,Operating,50
Central Peace Natural Gas Co-op Ltd.,Regulator Station,Operating,48
East Central Gas Co-Op Ltd.,Regulator Station,Operating,47
Paintearth Gas Co-Op Ltd.,Regulator Station,Operating,43
Cenovus Energy Inc.,Pump Station,Operating,42
Dry Country Gas Co-op Ltd.,Regulator Station,Operating,40
Prairie River Gas Co-Op Ltd.,Regulator Station,Operating,40
Buck Mountain Gas Co-op Ltd.,Regulator Station,Operating,39
Torxen Energy Ltd.,Meter Station,Operating,39
Birch Hills Gas Co-Op Ltd,Regulator Station,Operating,39
East Smoky Gas Co-Op Ltd.,Regulator Station,Operating,37
Cenovus Energy Inc.,Tank Farm,Operating,36
Long Run Exploration Ltd.,Meter Station,Operating,35
City Of Medicine Hat,Regulator Station,Operating,35
Sunshine Gas Co-Op Ltd.,Regulator Station,Operating,34
Little Bow Gas Co-Op Ltd,Regulator Station,Operating,32
Chief Mountain Gas Co-Op Ltd,Regulator Station,Operating,32
Natural Gas Co-Op 52 Ltd.,Regulator Station,Operating,32
Canadian Natural Resources Limited,Pump Station,Operating,31
Dinosaur Gas Co-Op Ltd.,Regulator Station,Operating,31
Thorhild County,Regulator Station,Operating,30
Tirol Gas Co-Op Limited,Regulator Station,Operating,29
Chinook Gas Co-Op Ltd.,Regulator Station,Operating,29
Canadian Natural Resources Limited,Compressor Station,Operating,28
Canadian Natural Resources Limited,Meter Regulator Stn.,Operating,28
Gibson Energy Inc.,Tank Farm,Operating,26
Lamco Gas Co-Op Ltd,Regulator Station,Operating,26
County Of Smoky Lake,Regulator Station,Operating,24
Canlin Energy Corporation,Line Heater,Operating,24
Chain Lakes Gas Co-op Limited,Regulator Station,Operating,24
County Of Two Hills No. 21,Regulator Station,Operating,23
Plains Midstream Canada ULC,Tank Farm,Operating,23
North East Gas Co-op Ltd.,Regulator Station,Operating,23
Rocky Gas Co-Op Ltd.,Regulator Station,Operating,22
Phoenix Gas Co-Op Ltd.,Regulator Station,Operating,22
Enbridge Pipelines (Athabasca) Inc.,Tank Farm,Operating,21
Cenovus Energy Inc.,Pump Station,Removed,20
ATCO Gas And Pipelines Ltd.,Compressor Station,Operating,20
Triple W Natural Gas Co-op Limited,Regulator Station,Operating,20
Battle River Gas Co-Op Ltd.,Regulator Station,Operating,19
Apex Utilities Inc.,Meter Station,Operating,19
Diamond Valley Gas Co-Op Ltd.,Regulator Station,Operating,19
Harvest Hills Gas Co-Op Ltd.,Regulator Station,Operating,17
Pembina River Natural Gas Co-Op Ltd.,Regulator Station,Operating,17
Rockyview Gas Co-op Ltd.,Regulator Station,Operating,16
Pembina Pipeline Corporation,Meter Station,Operating,15
City Of Medicine Hat,Meter Station,Operating,15
Inter Pipeline Polaris Inc.,Pump Station,Operating,15
Alberta Ethane Development Company Ltd.,Pump Station,Operating,15
Inter Pipeline Ltd.,Tank Farm,Operating,15
ATCO Gas And Pipelines Ltd.,Regulator Station,Operating,15
Burnt Lake Gas Co-op Limited,Regulator Station,Operating,14
Whitecap Resources Inc.,Line Heater,Operating,14
Canlin Energy Corporation,Meter Station,Operating,14
Ovintiv Canada ULC,Meter Station,Operating,14
AltaGas Ltd.,Regulator Station,Abandoned,13
Big Country Gas Co-Op Ltd.,Regulator Station,Operating,13
Suncor Energy Inc.,Pump Station,Operating,13
Minco Gas Co-Op Ltd.,Regulator Station,Operating,12
Gibson Energy Inc.,Pump Station,Operating,12
Inter Pipeline (Corridor) Inc.,Pump Station,Operating,12
Cavvy Production Ltd.,Line Heater,Operating,12
ATCO Gas And Pipelines Ltd.,Meter Regulator Stn.,Operating,12
Pembina Pipeline Corporation,Tank Farm,Operating,12
Evergreen Gas Co-op Ltd.,Regulator Station,Operating,12
Torxen Energy Ltd.,Regulator Station,Operating,12
Lac La Biche District Natural Gas Co-Op Ltd.,Regulator Station,Operating,11
The Town Of High Prairie,Regulator Station,Operating,11
Imperial Oil Resources Limited,Pump Station,Operating,11
Access Pipeline Inc.,Pump Station,Operating,11
ATCO Gas And Pipelines Ltd.,Compressor Station,Removed,11
County of Vermilion River Co-op,Meter Regulator Stn.,Operating,11
Shell Canada Limited,Line Heater,Operating,10
Canadian Natural Resources Limited,Line Heater,Operating,10
Enbridge Midstream Inc.,Pump Station,Operating,10
Town Of Smoky Lake,Regulator Station,Operating,10
Sinopec Canada Energy Ltd.,Line Heater,Operating,10
East Peace Gas Co-Op Ltd.,Meter Station,Operating,10
Alliance Pipeline Ltd.,Compressor Station,Operating,9
Cenovus Energy Inc.,Regulator Station,Operating,9
Ember Resources Inc.,Compressor Station,Operating,9
Cenovus Energy Inc.,Meter Station,Operating,9
Ovintiv Canada ULC,Line Heater,Operating,9
Pioneer Gas Co-op Limited,Regulator Station,Operating,8
Torxen Energy Ltd.,Compressor Station,Operating,8
Cochrane Lake Gas Co-op Ltd.,Regulator Station,Operating,8
Canadian Natural Resources Limited,Regulator Station,Operating,8
Alberta Products Pipe Line Ltd,Pump Station,Operating,8
Gull Lake Deer Creek Gas Co-Op Ltd.,Regulator Station,Operating,8
Suncor Energy Logistics Corporation,Pump Station,Operating,7
North Peace Gas Co-Operative Ltd.,Meter Station,Operating,7
Town Of Devon,Regulator Station,Operating,7
Express Pipeline Ltd.,Pump Station,Operating,7
Certarus Ltd.,Compressor Station,Operating,6
Ovintiv Canada ULC,Pump Station,Removed,6
Pembina Pipeline Corporation,Pump Station,Permitted,6
Cenovus Energy Inc.,Line Heater,Operating,6
Canadian Natural Resources Limited,Tank Farm,Operating,6
Canlin Energy Corporation,Compressor Station,Operating,6
Imperial Oil Resources Limited,Meter Station,Operating,6
Lac La Biche County,Regulator Station,Operating,6
Ricochet Oil Corp.,Meter Station,Operating,6
Canadian Natural Resources Limited,Meter Station,Discontinued,6
Tourmaline Oil Corp.,Pump Station,Operating,6
Keyera Energy Ltd.,Meter Station,Operating,6
Plains Midstream Canada ULC,Oil Terminal,Operating,6
NOVA Chemicals Corporation,Meter Station,Operating,6
Northern Lights Gas Co-op Ltd.,Regulator Station,Operating,6
Karve Energy Inc.,Compressor Station,Operating,6
Department Of National Defence,Meter Regulator Stn.,Operating,5
Crossroads Gas Co-op Ltd.,Regulator Station,Operating,5
Pembina Pipeline Corporation,Pump Station,Discontinued,5
Teine Energy Ltd.,Pump Station,Operating,5
Kingston Midstream Alberta Limited,Pump Station,Operating,5
Coronado Gas Co-op Ltd.,Meter Regulator Stn.,Operating,5
Inter Pipeline Ltd.,Oil Terminal,Operating,5
