well_id,first_month,operator,lateral_m,BH_Latitude,BH_Longitude
100013007711W600,2023-01,BIRCHCLIFF ENERGY LTD.,3286.79,55.695243,-119.683099
100013408110W600,2023-01,CANADIAN NATURAL RESOURCES LIMITED,,56.060909,-119.468419
100021307808W600,2023-01,KELT EXPLORATION LTD.,1570.0,55.752771,-119.095559
100022007711W600,2023-01,INSIGNIA ENERGY LTD.,1650.3600000000001,55.680681,-119.662505
100041207913W600,2023-01,BIRCHCLIFF ENERGY LTD.,2355.68,55.826667,-119.903509
100043107610W600,2023-01,LONGSHORE RESOURCES LTD.,3219.79,55.62495,-119.549553
100051207913W600,2023-01,BIRCHCLIFF ENERGY LTD.,2207.31,55.829976,-119.903474
100061206106W600,2023-01,TOURMALINE OIL CORP.,2676.53,54.258627,-118.767437
100070306207W600,2023-01,TAQA NORTH LTD.,1845.0,54.333922,-118.960485
100081207808W600,2023-01,KELT EXPLORATION LTD.,1582.0,55.744104,-119.091974
100082006811W600,2023-01,CENOVUS ENERGY INC.,2840.31,54.899451,-119.630507
100082406905W600,2023-01,SPARTAN DELTA CORP.,3301.25,54.986557,-118.611488
100091306905W600,2023-01,SPARTAN DELTA CORP.,3663.31,54.975557,-118.613261
100092708012W602,2023-01,KELT EXPLORATION LTD.,,55.964567,-119.777174
100093506408W600,2023-01,CENOVUS ENERGY INC.,3073.54,54.585194,-119.086973
100100206207W600,2023-01,TAQA NORTH LTD.,1835.0,54.335955,-118.932645
100111606106W600,2023-01,TOURMALINE OIL CORP.,2569.61,54.276532,-118.841409
100121207913W600,2023-01,BIRCHCLIFF ENERGY LTD.,2189.46,55.833224,-119.903279
100123408012W602,2023-01,KELT EXPLORATION LTD.,4.25,55.979736,-119.797492
100131706203W600,2023-01,STRATHCONA RESOURCES LTD.,1872.96,54.369725,-118.418763
100133506408W600,2023-01,CENOVUS ENERGY INC.,3390.78,54.587362,-119.105188
100133607809W600,2023-01,CANADIAN NATURAL RESOURCES LIMITED,344.0,55.80862,-119.263984
100143506408W600,2023-01,CENOVUS ENERGY INC.,3067.25,54.587359,-119.095993
100150106809W600,2023-01,WHITECAP RESOURCES INC.,2470.74,54.864112,-119.231869
