GasDay,NextDayGasDay,Item,Category,ProratedMMcfd,ExtrapolatedMMcfd,NextDayNominatedMMcfd,SourceFile
2025-07-01,2025-07-02,ALBERTA_BC,Border Flow,-2822.0,-2690.0,-2835.0,GdsrNGTLImperial20250701.csv
2025-07-01,2025-07-02,EMPRESS,Border Flow,-4107.0,-4161.0,-3929.0,GdsrNGTLImperial20250701.csv
2025-07-01,2025-07-02,MCNEILL,Border Flow,-661.0,-590.0,-691.0,GdsrNGTLImperial20250701.csv
2025-07-01,2025-07-02,OTHER_BORDERS,Border Flow,-429.0,-447.0,-425.0,GdsrNGTLImperial20250701.csv
2025-07-01,2025-07-02,GORDONDALE,Interconnect Flow,203.0,204.0,239.0,GdsrNGTLImperial20250701.csv
2025-07-01,2025-07-02,GROUNDBIRCH_EAST,Interconnect Flow,235.0,221.0,256.0,GdsrNGTLImperial20250701.csv
2025-07-01,2025-07-02,WILLOW_VALLEY,Interconnect Flow,-13.0,0.0,-13.0,GdsrNGTLImperial20250701.csv
2025-07-01,2025-07-02,INTRAPROVINCIAL,Internal Delivery,-10706.0,-5577.0,-10301.0,GdsrNGTLImperial20250701.csv
2025-07-01,2025-07-02,TOTAL_NET_STORAGE,Storage,-780.0,-784.0,-990.0,GdsrNGTLImperial20250701.csv
2025-07-01,2025-07-02,TOTAL_STORAGE_DELIVERIES,Storage,-2497.0,-864.0,-2442.0,GdsrNGTLImperial20250701.csv
2025-07-01,2025-07-02,TOTAL_STORAGE_RECEIPTS,Storage,1717.0,80.0,1452.0,GdsrNGTLImperial20250701.csv
2025-07-01,2025-07-02,TOTAL_NGTL_DELIVERIES,System Total,-21235.0,-14329.0,-20635.0,GdsrNGTLImperial20250701.csv
2025-07-01,2025-07-02,TOTAL_NGTL_RECEIPTS,System Total,24875.0,14331.0,24667.0,GdsrNGTLImperial20250701.csv
2025-07-01,2025-07-02,TOTAL_STORAGE_AND_INTRAPROVINCIAL,System Total,-13203.0,-6441.0,-12743.0,GdsrNGTLImperial20250701.csv
2025-07-02,2025-07-03,ALBERTA_BC,Border Flow,-2872.0,-2755.0,-2874.0,GdsrNGTLImperial20250702.csv
2025-07-02,2025-07-03,EMPRESS,Border Flow,-4041.0,-4023.0,-3964.0,GdsrNGTLImperial20250702.csv
2025-07-02,2025-07-03,MCNEILL,Border Flow,-641.0,-617.0,-672.0,GdsrNGTLImperial20250702.csv
2025-07-02,2025-07-03,OTHER_BORDERS,Border Flow,-434.0,-441.0,-477.0,GdsrNGTLImperial20250702.csv
2025-07-02,2025-07-03,GORDONDALE,Interconnect Flow,268.0,274.0,241.0,GdsrNGTLImperial20250702.csv
2025-07-02,2025-07-03,GROUNDBIRCH_EAST,Interconnect Flow,335.0,329.0,287.0,GdsrNGTLImperial20250702.csv
2025-07-02,2025-07-03,WILLOW_VALLEY,Interconnect Flow,-26.0,-39.0,0.0,GdsrNGTLImperial20250702.csv
2025-07-02,2025-07-03,INTRAPROVINCIAL,Internal Delivery,-10737.0,-5574.0,-10298.0,GdsrNGTLImperial20250702.csv
2025-07-02,2025-07-03,TOTAL_NET_STORAGE,Storage,-898.0,-855.0,-1209.0,GdsrNGTLImperial20250702.csv
