gas_day,linepack_mmcf,target_mmcf,tolerance_raw,tolerance_low_pct,tolerance_high_pct,band_low_mmcf,band_high_mmcf,band_position,tolerance_changed,tolerance_shifted,linepack_roc_mmcfd,linepack_change_24h_mmcf,sd_account_tj,oba_account_tj,source_file
2025-07-01,19688.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-1.3500653468222066,2025-01-13 08:00:00,False,-157.0,8.0,-640.1,852.7,GdsrNGTLImperial20250701.csv
2025-07-02,19985.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-0.6312503025315831,2025-01-13 08:00:00,False,227.0,297.0,-612.5,1161.1,GdsrNGTLImperial20250702.csv
2025-07-03,20147.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-0.23916936928215218,2025-01-13 08:00:00,False,-12.0,162.0,-355.8,1157.9,GdsrNGTLImperial20250703.csv
2025-07-04,20131.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-0.27789341207221946,2025-01-13 08:00:00,False,-57.0,-16.0,-367.6,1057.0,GdsrNGTLImperial20250704.csv
2025-07-05,20146.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-0.2415896219565314,2025-01-13 08:00:00,False,-21.0,15.0,-262.3,934.9,GdsrNGTLImperial20250705.csv
2025-07-06,19941.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-0.7377414202042681,2025-01-13 08:00:00,False,-621.0,-205.0,-362.7,862.3,GdsrNGTLImperial20250706.csv
2025-07-07,19706.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-1.306500798683381,2025-01-13 08:00:00,False,-107.0,-236.0,-359.3,821.5,GdsrNGTLImperial20250707.csv
2025-07-08,19731.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-1.2459944818239008,2025-01-13 08:00:00,False,-28.0,26.0,-517.5,918.3,GdsrNGTLImperial20250708.csv
2025-07-09,20005.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-0.582845249043999,2025-01-13 08:00:00,False,254.0,274.0,-262.2,1082.8,GdsrNGTLImperial20250709.csv
2025-07-10,20091.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-0.3747035190473876,2025-01-13 08:00:00,False,-388.0,85.0,-193.5,915.1,GdsrNGTLImperial20250710.csv
2025-07-11,20060.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-0.4497313519531429,2025-01-13 08:00:00,False,125.0,-30.0,-315.9,837.6,GdsrNGTLImperial20250711.csv
2025-07-12,20042.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-0.49329590009196855,2025-01-13 08:00:00,False,-179.0,-18.0,-215.9,724.2,GdsrNGTLImperial20250712.csv
2025-07-13,19862.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-0.9289413814802252,2025-01-13 08:00:00,False,-94.0,-180.0,-407.5,737.3,GdsrNGTLImperial20250713.csv
2025-07-14,20002.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-0.5901060070671367,2025-01-13 08:00:00,False,238.0,140.0,-424.3,753.3,GdsrNGTLImperial20250714.csv
2025-07-15,20075.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-0.4134275618374548,2025-01-13 08:00:00,False,4.0,73.0,-454.7,950.3,GdsrNGTLImperial20250715.csv
2025-07-16,20000.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-0.5949465124158951,2025-01-13 08:00:00,False,-397.0,-75.0,-313.0,742.2,GdsrNGTLImperial20250716.csv
2025-07-17,19573.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-1.628394404375815,2025-01-13 08:00:00,False,-503.0,-427.0,-570.5,520.0,GdsrNGTLImperial20250717.csv
2025-07-18,19686.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-1.354905852170965,2025-01-13 08:00:00,False,9.0,113.0,-464.4,620.6,GdsrNGTLImperial20250718.csv
2025-07-19,19088.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-2.802216951449729,2025-01-13 08:00:00,False,-396.0,-598.0,-884.4,422.4,GdsrNGTLImperial20250719.csv
2025-07-20,19448.0,20659.0,-2/0 (%),-2.0,0.0,20245.82,20659.0,-1.9309259886732155,2025-01-13 08:00:00,False,430.0,360.0,-212.6,302.8,GdsrNGTLImperial20250720.csv
2025-07-21,19507.0,20659.0,-1/1 (%),-1.0,1.0,20452.41,20865.59,-2.2881310808848423,2025-07-21 08:00:00,True,-217.0,59.0,-325.0,492.7,GdsrNGTLImperial20250721.csv
2025-07-22,19175.0,20659.0,-1/1 (%),-1.0,1.0,20452.41,20865.59,-3.091654968778738,2025-07-21 08:00:00,False,-245.0,-331.0,-143.1,41.2,GdsrNGTLImperial20250722.csv
2025-07-23,19175.0,20659.0,-1/1 (%),-1.0,1.0,20452.41,20865.59,-3.091654968778738,2025-07-21 08:00:00,False,178.0,-1.0,-252.3,20.9,GdsrNGTLImperial20250723.csv
2025-07-24,19389.0,20659.0,-1/1 (%),-1.0,1.0,20452.41,20865.59,-2.5737208964615883,2025-07-21 08:00:00,False,902.0,214.0,-69.3,-55.9,GdsrNGTLImperial20250724.csv
2025-07-25,19455.0,20659.0,-1/1 (%),-1.0,1.0,20452.41,20865.59,-2.413984219952561,2025-07-21 08:00:00,False,-76.0,66.0,-37.5,91.9,GdsrNGTLImperial20250725.csv
2025-07-26,19564.0,20659.0,-1/1 (%),-1.0,1.0,20452.41,20865.59,-2.1501766784452276,2025-07-21 08:00:00,False,-30.0,110.0,93.9,184.3,GdsrNGTLImperial20250726.csv
