GasDay,Metric,NumericValue,TextValue,SourceFile
2025-07-01,END_OF_DAY_LINEPACK,19688.0,,GdsrNGTLImperial20250701.csv
2025-07-01,LINEPACK_CHANGE_24H,8.0,,GdsrNGTLImperial20250701.csv
2025-07-01,LINEPACK_RATE_OF_CHANGE,-157.0,,GdsrNGTLImperial20250701.csv
2025-07-01,LINEPACK_TARGET,20659.0,,GdsrNGTLImperial20250701.csv
2025-07-01,NGTL_FIELD_RECEIPTS,13826.0,,GdsrNGTLImperial20250701.csv
2025-07-01,TOLERANCE,,-2/0 (%),GdsrNGTLImperial20250701.csv
2025-07-01,TOLERANCE_LAST_CHANGED,,2025-Jan-13 at 08:00,GdsrNGTLImperial20250701.csv
2025-07-01,TOTAL_OBA_ACCOUNT_TJ,852.7,,GdsrNGTLImperial20250701.csv
2025-07-01,TOTAL_SD_ACCOUNT_TJ,-640.1,,GdsrNGTLImperial20250701.csv
2025-07-02,END_OF_DAY_LINEPACK,19985.0,,GdsrNGTLImperial20250702.csv
2025-07-02,LINEPACK_CHANGE_24H,297.0,,GdsrNGTLImperial20250702.csv
2025-07-02,LINEPACK_RATE_OF_CHANGE,227.0,,GdsrNGTLImperial20250702.csv
2025-07-02,LINEPACK_TARGET,20659.0,,GdsrNGTLImperial20250702.csv
2025-07-02,NGTL_FIELD_RECEIPTS,13981.0,,GdsrNGTLImperial20250702.csv
2025-07-02,TOLERANCE,,-2/0 (%),GdsrNGTLImperial20250702.csv
2025-07-02,TOLERANCE_LAST_CHANGED,,2025-Jan-13 at 08:00,GdsrNGTLImperial20250702.csv
2025-07-02,TOTAL_OBA_ACCOUNT_TJ,1161.1,,GdsrNGTLImperial20250702.csv
2025-07-02,TOTAL_SD_ACCOUNT_TJ,-612.5,,GdsrNGTLImperial20250702.csv
2025-07-03,END_OF_DAY_LINEPACK,20147.0,,GdsrNGTLImperial20250703.csv
2025-07-03,LINEPACK_CHANGE_24H,162.0,,GdsrNGTLImperial20250703.csv
2025-07-03,LINEPACK_RATE_OF_CHANGE,-12.0,,GdsrNGTLImperial20250703.csv
2025-07-03,LINEPACK_TARGET,20659.0,,GdsrNGTLImperial20250703.csv
2025-07-03,NGTL_FIELD_RECEIPTS,13936.0,,GdsrNGTLImperial20250703.csv
2025-07-03,TOLERANCE,,-2/0 (%),GdsrNGTLImperial20250703.csv
2025-07-03,TOLERANCE_LAST_CHANGED,,2025-Jan-13 at 08:00,GdsrNGTLImperial20250703.csv
2025-07-03,TOTAL_OBA_ACCOUNT_TJ,1157.9,,GdsrNGTLImperial20250703.csv
2025-07-03,TOTAL_SD_ACCOUNT_TJ,-355.8,,GdsrNGTLImperial20250703.csv
2025-07-04,END_OF_DAY_LINEPACK,20131.0,,GdsrNGTLImperial20250704.csv
