COMP_NAME,SegmentCount,TotalLengthKm,AverageDiameterMm
Canadian Natural Resources Limited,22736,30706.9,107.986866643209
NOVA Gas Transmission Ltd.,1698,22937.1,382.87208480565374
Ember Resources Inc.,9916,11508.34,127.97915490116984
ATCO Gas And Pipelines Ltd.,3558,9206.08,210.11408094435077
Torxen Energy Ltd.,8906,8689.79,84.7998091174489
Ipc Canada Ltd.,10874,7370.61,74.15871804303845
Tourmaline Oil Corp.,3518,7225.76,155.50503126776576
Pine Cliff Energy Ltd.,4889,7060.28,115.9676007363469
Cenovus Energy Inc.,3819,6826.71,144.10570830060223
Canlin Energy Corporation,6294,6707.87,92.45980298697172
Lynx Energy ULC,5055,5862.95,115.16929772502473
Peyto Exploration & Development Corp.,2224,3864.08,154.81362410071944
TAQA North Ltd.,2395,3689.45,125.30133611691024
Sequoia Resources Corp.,1463,2721.45,120.80423786739577
Whitecap Resources Inc.,1293,2671.72,150.76991492652746
Long Run Exploration Ltd.,1207,2395.32,114.62709196354598
AlphaBow Energy Ltd.,1133,1764.96,112.68746690203001
Apex Utilities Inc.,474,1535.54,88.24261603375527
Alliance Pipeline Ltd.,37,1360.6799999999998,369.3459459459459
Paramount Resources Ltd.,830,1355.68,141.3725301204819
Karve Energy Inc.,720,1329.55,119.16
Keyera Energy Ltd.,159,1258.78,208.4805031446541
Tallahassee Exploration Inc.,839,1252.6,120.1761620977354
Gran Tierra Canada Ltd.,655,1141.83,124.73801526717558
Ovintiv Canada ULC,522,1141.18,174.64865900383143
Journey Energy Inc.,797,1057.79,101.2529485570891
Vermilion Energy Inc.,610,1028.09,122.56639344262295
Battle River Energy Ltd.,632,1027.29,109.58006329113925
ARC Resources Ltd.,430,988.53,220.59627906976743
Tidewater Midstream and Infrastructure Ltd.,279,939.42,178.87383512544804
Shell Canada Limited,339,916.26,178.8061946902655
Strathcona Resources Ltd.,418,867.48,160.1665071770335
Axiom Oil and Gas Inc.,386,841.47,120.19248704663214
PGI Processing ULC,136,839.38,234.88750000000002
Westbrick Energy Ltd.,437,799.93,141.85560640732265
HWN Energy Ltd.,434,732.19,127.75345622119816
Baytex Energy Ltd.,414,720.1800000000001,122.62053140096619
Mancal Energy Inc.,433,708.15,120.21801385681293
Outlier Resources Ltd.,420,702.35,119.24190476190476
Barrel Oil Corp.,350,661.77,116.79571428571428
County of Vermilion River Co-op,160,646.75,77.1525
City Of Medicine Hat,650,610.08,123.03676923076922
Btg Energy Corporation,431,607.23,115.80696055684456
Obsidian Energy Ltd.,400,560.08,121.97925
Long Term Asset Management Inc.,435,546.66,107.30873563218391
Cleo Energy Corp.,385,544.56,99.17246753246754
Cavvy Production Ltd.,174,525.34,156.5390804597701
Harvest Operations Corp.,281,524.79,131.23807829181496
Tamarack Valley Energy Ltd.,346,524.52,119.54479768786128
Foothills Pipe Lines Ltd.,4,502.5,952.25
Forty Mile Gas Co-op Ltd.,57,498.77,71.23508771929825
Blue Sky Resources Ltd.,240,495.11,117.04625000000001
InPlay Oil Corp.,363,490.73,123.17162534435262
Bearspaw Petroleum Ltd.,422,489.94,114.37488151658769
North Peace Gas Co-Operative Ltd.,58,474.95,63.98103448275862
Surge Energy Inc.,260,474.73,96.02538461538461
Birchcliff Energy Ltd.,257,470.84,183.3408560311284
Advantage Energy Ltd.,221,470.29,193.29819004524887
NuVista Energy Ltd.,278,470.08,185.17769784172663
Sinopec Canada Energy Ltd.,266,466.29,143.01428571428573
Spark Infrastructure Corp.,323,452.29,138.52538699690405
AltaGas Ltd.,142,452.27,268.74788732394364
Bighorn Energy Corporation,206,451.89,131.36067961165048
Vantage Point Resources Inc.,303,448.83,113.76303630363036
Spartan Delta Corp.,259,445.73,173.3891891891892
Prairie Provident Resources Canada Ltd.,286,441.03000000000003,108.41433566433567
Rising Tide Energy Ltd.,351,428.46,104.14957264957265
Kelt Exploration Ltd.,162,391.62,157.25555555555556
Cardinal Energy Ltd.,281,377.48,106.53309608540926
Persist Oil And Gas Inc.,269,372.39,138.10520446096655
Northern Lights Gas Co-op Ltd.,39,355.18,146.0076923076923
Teine Energy Ltd.,389,342.03,105.58046272493574
