ReportingFacilityID,name,operator,facility_type,twp,rge,mer,location,rate_bbld,month,lat,lon
ABGS0154000,DUVERNAY CONDENSATE STABILIZATION,PEMBINA GAS INFRASTRUCTURE INC.,GS,62,20,5,14-28-062-20W5,26056.7425848235,2026-06,54.357015,-116.922652
ABGP0150355,KEYERA WAPITI GAS PLANT,KEYERA ENERGY LTD.,GP,67,7,6,03-19-067-07W6,20892.88222726806,2026-06,54.793595,-119.044618
ABGP0130964,Kaybob 15-07 Gas Plant,WHITECAP RESOURCES INC.,GP,60,18,5,15-07-060-18W5,13973.217936057667,2026-06,54.2120395,-116.62852649999999
ABGP0173210,PARA ALHAMBRA 01-32-038-06W5 GP,PARAMOUNT RESOURCES LTD.,GP,38,6,5,01-32-038-06W5,12597.780531322269,2026-06,52.264968,-114.775117
ABGP0150386,KEYERA PIPESTONE 04-07 GAS PLANT,KEYERA ENERGY LTD.,GP,73,8,6,04-07-073-08W6,12422.315451368142,2026-06,55.325464,-119.180899
ABGP0174049,JAYAR 6-8-62-3 W6,ARC RESOURCES LTD.,GP,62,3,6,06-08-062-03W6,12419.82048846761,2026-06,54.386644,-118.414636
ABGP0157570,CSV Karr Gas Plant,CSV MIDSTREAM SOLUTIONS CORP.,GP,66,4,6,06-18-066-04W6,11037.611041573631,2026-06,54.71354,-118.526417
ABGP0001113,KEYERA SIMONETTE GAS PLANT 09-06,KEYERA ENERGY LTD.,GP,63,25,5,09-06-063-25W5,10848.266420105627,2026-06,54.481881,-117.751455
ABGS0145958,Fox Creek Kaybob 05-33-063-20W5,WHITECAP PARTNERSHIP,GS,63,20,5,05-33-063-20W5,10287.843240851978,2026-06,54.4592065,-116.9500385
ABGP0001129,GOLD CREEK 13-26-067-05W6,CANADIAN NATURAL RESOURCES LIMITED,GP,67,5,6,13-26-067-05W6,10023.607800218468,2026-06,54.7784435,-118.66570200000001
ABGS0123167,"AOC KAYBOB - SIMONETTE 12"" GGS",ATHABASCA OIL CORPORATION,GS,63,20,5,07-14-063-20W5,8601.185421868875,2026-06,54.4592065,-116.9500385
ABGS0155148,Pipestone North 16-28-71-09W6 GS,PEMBINA GAS INFRASTRUCTURE INC.,GS,71,9,6,16-28-071-09W6,7603.158329507025,2026-06,55.1824295,-119.32637650000001
ABGS0144050,WASKAHIGAN MGS 10-29-062-23W5,PEMBINA GAS INFRASTRUCTURE INC.,GS,62,23,5,10-29-062-23W5,7449.812458460964,2026-06,54.369283,-117.39031
ABGP0001892,AEC SADDLE HILLS,OVINTIV CANADA ULC,GP,75,7,6,04-08-075-07W6,6456.1043775067565,2026-06,55.525174,-119.077132
ABGP0140439,Simonette 10-29 Gas Plant,KIWETINOHK ENERGY CORP.,GP,63,23,5,10-29-063-23W5,4610.670474105849,2026-06,54.477826,-117.3990675
ABGP0150704,WAPITI GAS PLANT,PEMBINA GAS INFRASTRUCTURE INC.,GP,67,7,6,07-35-067-07W6,4219.674145265546,2026-06,54.793595,-119.044618
ABGP0133259,PCC Simonette 15-31-62-21w5 GP,PETROCHINA DUVERNAY GAS PARTNERSHIP,GP,62,21,5,15-31-062-21W5,3996.888634500515,2026-06,54.37737,-117.049571
ABGP0001107,PGI Kaybob Amalgamated,PEMBINA GAS INFRASTRUCTURE INC.,GP,62,20,5,01-12-062-20W5,3379.60546040452,2026-06,54.357015,-116.922652
ABGP0152315,PIPESTONE 12-35-070-09W6 GAS PLANT,ALTAGAS LTD.,GP,70,9,6,12-35-070-09W6,3370.1497606722564,2026-06,55.068792,-119.291766
ABGP0168934,CSV Albright 13-34 Sulphur Rec GP,CSV MIDSTREAM SOLUTIONS CORP.,GP,72,9,6,13-34-072-09W6,2917.1567486649856,2026-06,55.244088500000004,-119.298955
ABGS0154260,Pipestone South 14-17-70-08W6 GS,OVINTIV CANADA ULC,GS,70,8,6,14-17-070-08W6,2707.7895257683545,2026-06,55.0822625,-119.1585875
ABGP0001004,KEYERA HOMEGLEN-RIMBEY 2-05-44-01W5,KEYERA ENERGY LTD.,GP,44,1,5,02-05-044-01W5,2669.33774459547,2026-06,52.809223,-114.1043485
ABGP0132407,Kaybob 5-31 Gas Plant,KIWETINOHK ENERGY CORP.,GP,62,24,5,05-31-062-24W5,2631.6617081899776,2026-06,54.358042,-117.548116
ABGP0001133,KEYERA STRACHAN 11-35-037-09W5,KEYERA ENERGY LTD.,GP,37,9,5,11-35-037-09W5,2518.1094471036417,2026-06,52.205475,-115.189232
ABGP0171549,WEMBLEY 06-19-073-08W6,OVINTIV CANADA ULC,GP,73,8,6,06-19-073-08W6,2150.1758005371507,2026-06,55.325464,-119.180899
ABGP0144505,Orlen Kakwa 16-07-063-05W6 Gas Plant,ORLEN UPSTREAM CANADA LTD.,GP,63,5,6,16-07-063-05W6,2143.31989407939,2026-06,54.450861,-118.67915350000001
ABGP0001477,PARA WILLESDEN GREEN,PARAMOUNT RESOURCES LTD.,GP,39,5,5,15-31-039-05W5,2140.678168655299,2026-06,52.374447,-114.659102
ABGP0001144,PGI Kaybob South #3,PEMBINA GAS INFRASTRUCTURE INC.,GP,59,18,5,03-15-059-18W5,2110.5708852505763,2026-06,54.0843795,-116.63019299999999
ABGS0137512,Elmworth 08-10-68-08W6 GS,OVINTIV CANADA ULC,GS,68,8,6,08-10-068-08W6,1893.3833164556434,2026-06,54.887344,-119.167388
ABGP0094954,Resthaven 8-11-60-3W6 GP,PEMBINA GAS INFRASTRUCTURE INC.,GP,60,3,6,08-11-060-03W6,1859.0618520172509,2026-06,54.179856,-118.347422
ABGP0106663,PCS 03-22-078-12W6 GP ABGP 0106663,BIRCHCLIFF ENERGY LTD.,GP,78,12,6,03-22-078-12W6,1852.9816903268822,2026-06,55.76599950000001,-119.774323
ABGP0119271,MUSREAU GP 02/08-13-062-06W6M,TOURMALINE OIL CORP.,GP,62,6,6,08-13-062-06W6,1843.0437708743484,2026-06,54.368977,-118.797811
ABGP0137047,SPARTAN ALDERFLATS 10-09-045-08W5,SPARTAN DELTA CORP.,GP,45,8,5,10-09-045-08W5,1716.8908988365924,2026-06,52.898008000000004,-115.1175345
ABGP0097389,TRILOGY SMOKY RIVER 06-16 GPL,WHITECAP PARTNERSHIP,GP,64,21,5,06-16-064-21W5,1621.1598013254754,2026-06,54.553574,-117.0948785
ABGS0122857,00/07-22-068-08W6 Wapiti GS,SINOPEC CANADA ENERGY LTD.,GS,68,8,6,07-22-068-08W6,1526.267346806133,2026-06,54.887344,-119.167388
ABGP0001740,MUSREAU 4-25-62-6W6,PEMBINA GAS INFRASTRUCTURE INC.,GP,62,6,6,04-25-062-06W6,1440.4112705231666,2026-06,54.368977,-118.797811
ABGS0171086,VRN Fox Creek Booster #2,WHITECAP PARTNERSHIP,GS,63,18,5,14-16-063-18W5,1303.8382593126064,2026-06,54.466239,-116.67404450000001
ABGP0001841,BERLAND SWEET PLANT  14-15-59-24W5,TOURMALINE OIL CORP.,GP,59,24,5,14-15-059-24W5,1181.4383146630437,2026-06,54.117043,-117.531832
ABGP0134628,MUSREAU II  9-26-62-6W6,PEMBINA GAS INFRASTRUCTURE INC.,GP,62,6,6,09-26-062-06W6,1160.996391738528,2026-06,54.368977,-118.797811
ABGP0001909,PANCDN EMPRESS,PEMBINA NGL CORPORATION,GP,20,1,4,16-02-020-01W4,1151.2471669591434,2026-06,50.669868,-110.063451
ABGP0162257,PEYTO CHAMBERS GP 2-15-41-11W5,PEYTO EXPLORATION & DEVELOPMENT CORP.,GP,41,11,5,02-15-041-11W5,1149.5279488260048,2026-06,52.532874,-115.491357
ABGS0165319,ELMWORTH 12-14-70-7w6,CANADIAN NATURAL RESOURCES LIMITED,GS,70,7,6,12-14-070-07W6,1103.842871849061,2026-06,55.083804,-118.992876
ABGP0001506,PROGRESS 1-1-78-10w6,CANADIAN NATURAL RESOURCES LIMITED,GP,78,10,6,01-01-078-10W6,1101.934959042773,2026-06,55.755900999999994,-119.521798
ABGP0001147,VERESEN HYTHE 11-18-074-12W6 GP,PEMBINA GAS INFRASTRUCTURE INC.,GP,74,12,6,11-18-074-12W6,1090.990668000109,2026-06,55.401059,-119.74632
ABGS0122039,DELPHI BIGSTONE 7-11-60-23 W5 GS,KIWETINOHK ENERGY CORP.,GS,60,23,5,07-11-060-23W5,1023.0815517411278,2026-06,54.193902,-117.399335
ABGP0001108,KEYERA BRAZEAU EAST 6-12-046-14W5,KEYERA ENERGY LTD.,GP,46,14,5,06-12-046-14W5,1000.7107499355294,2026-06,53.004431,-115.928623
ABGS0151636,VALHALLA 13-16 COMPRESSOR,ADVANTAGE ENERGY LTD.,GS,75,10,6,13-16-075-10W6,974.3144617694111,2026-06,55.504008,-119.448609
ABGP0001037,SHELL JUMPING POUND,CAVVY PRODUCTION LTD.,GP,25,5,5,13-13-025-05W5,961.0429364245715,2026-06,51.165668499999995,-114.58990399999999
ABGP0001662,CAVVY CAROLINE,CAVVY PRODUCTION LTD.,GP,34,6,5,12-35-034-06W5,920.1381245007453,2026-06,51.9103215,-114.77289999999999
ABGP0001970,BURLINGTON SAND CREEK,CENOVUS ENERGY INC.,GP,45,10,5,06-25-045-10W5,911.4162373862854,2026-06,52.856995,-115.376487
ABGP0155556,Sunchild 01-04-044-11W5 Gas Plant,TAQA NORTH LTD.,GP,44,11,5,01-04-044-11W5,904.6651613024965,2026-06,52.8242245,-115.503357
ABGP0001292,WAPITI 16-36-067-09W6,CANADIAN NATURAL RESOURCES LIMITED,GP,67,9,6,16-36-067-09W6,901.4573518589572,2026-06,54.822618,-119.24356399999999
ABGP0001084,EDSON 04-11-053-18W5 GP,PEYTO EXPLORATION & DEVELOPMENT CORP.,GP,53,18,5,04-11-053-18W5,898.6898299860994,2026-06,53.606896000000006,-116.60726650000001
ABGS0132790,Rose Creek-08-05-043-06 W5M,SPARTAN DELTA CORP.,GS,43,6,5,08-05-043-06W5,872.7757615402518,2026-06,52.696587,-114.7766605
ABGS0170110,Fox Ck 04-24-061-17W5 (FC 601) GS,WHITECAP PARTNERSHIP,GS,61,17,5,04-24-061-17W5,815.014225481748,2026-06,54.265385,-116.456731
ABGP0115356,BANSHEE 15-12 GAS PLANT,TOURMALINE OIL CORP.,GP,50,21,5,15-12-050-21W5,778.575187489124,2026-06,53.323979,-116.998321
ABGP0121326,Open Range Ansell 12-31 Gas Plant,PEYTO EXPLORATION & DEVELOPMENT CORP.,GP,53,19,5,12-31-053-19W5,772.5579240231383,2026-06,53.5833885,-116.761713
ABGP0140842,Columbia 15-36-044-15W5 Gas Plant,TOURMALINE OIL CORP.,GP,44,15,5,15-36-044-15W5,755.4705730657224,2026-06,52.784068,-116.073569
ABGP0140643,Patterson Creek Gas Plt 11-21-66-3W6,PEMBINA GAS INFRASTRUCTURE INC.,GP,66,3,6,11-21-066-03W6,744.106960527171,2026-06,54.704123,-118.404898
ABGP0129178,PEYTO BRAZEAU 06-12-044-13W5 GAS,PEYTO EXPLORATION & DEVELOPMENT CORP.,GP,44,13,5,06-12-044-13W5,726.0971022788027,2026-06,52.79706,-115.766212
ABGS0143888,ARC PCOUPE 1-21-80-12W6 GS,STORM DEVELOPMENT CORP.,GS,80,12,6,01-21-080-12W6,680.6216860498029,2026-06,55.9336745,-119.7973005
ABGP0001122,CENTRAL FERRIER GP 01-06,CANLIN RESOURCES PARTNERSHIP,GP,41,7,5,01-06-041-07W5,620.9941693345997,2026-06,52.53883,-114.93497099999999
ABGP0001651,ALDER 10-9-45-8W5,CENOVUS ENERGY INC.,GP,45,8,5,10-09-045-08W5,612.5238751176722,2026-06,52.898008000000004,-115.1175345
ABGP0138443,ZETA CREEK 11-10-49-12W5 GAS PLANT,MANCAL ENERGY INC.,GP,49,12,5,11-10-049-12W5,590.048242938102,2026-06,53.234365,-115.66247849999999
ABGS0078085,WEST PEMBINA 12-03,VERMILION ENERGY INC.,GS,50,13,5,12-03-050-13W5,588.8322106000281,2026-06,53.32443,-115.786714
ABGP0154540,HMGP Corser 06-20,CENOVUS ENERGY INC.,GP,49,18,5,06-20-049-18W5,578.9781554466717,2026-06,53.244166,-116.557395
ABGP0001858,WILDRIVER 10-20-56-23W5 GP,PEYTO EXPLORATION & DEVELOPMENT CORP.,GP,56,23,5,10-20-056-23W5,571.8077578669955,2026-06,53.842956,-117.359222
ABGP0001437,CASCADE CAROLINE,TAQA NORTH LTD.,GP,33,6,5,03-26-033-06W5,562.4778545834985,2026-06,51.847400500000006,-114.7715755
ABGP0094379,Jupiter Kakwa 01-35-060-05W6 GP,TOURMALINE OIL CORP.,GP,60,5,6,01-35-060-05W6,528.1563901451062,2026-06,54.197287,-118.705648
ABGP0001021,GARRINGTON OLDS,WHITECAP RESOURCES INC.,GP,32,1,5,06-18-032-01W5,521.0279247150187,2026-06,51.739442999999994,-114.055817
