,gas,crude,bit,ogb,cond,boe,liq,yld
Athabasca in-situ,260.8321691559184,0.0,1159925.5294205467,0.005615892857142857,0.0,1203397.5632290926,96.38755889815798,0.0
Montney (Alberta),5269.789429960753,128608.34140216705,0.0,5229.661424107527,116540.63426904411,1128676.8754221108,22.18337617678933,22.114855976306448
Cold Lake,210.55884850378922,0.0,631385.1346495675,0.0,0.0,666478.2760668658,94.73454084289202,0.0
Deep Basin,3104.923846990537,24410.01008635484,0.0,3510.175598002688,114804.05970421842,660211.5532203323,21.61795634935589,36.974839114167914
Cardium / central foothills,1587.1991810798238,64368.73306855568,0.0,502.3674169727342,24981.15761386501,354385.45494603075,25.354386543058606,15.739144722132169
Mannville CBM / shallow,1191.4487283008468,77821.90718699385,0.0,371.8443931443932,5112.745735480259,281881.2853657597,29.55375246268045,4.2912007995272
Other,738.8839074813328,106462.63372827457,25296.153241278414,154.83886567319507,4509.278182134779,259570.22193091645,52.557224400597605,6.1028236458766045
Clearwater,118.45425185061771,75622.62767943663,105888.82997623924,5.014078480798771,130.6461297233012,201389.49317231626,90.1969189169447,1.1029247805140723
SE Alberta shallow gas,461.2188391771997,52149.36224939132,0.0,16.107085216973886,1176.2911513525125,130211.56701549409,40.96545468930082,2.550397016416285
Peace River oil sands,65.81486664105768,2779.14231684639,39073.818024970424,0.0,34.50967602226064,52856.61445801535,79.24735711385904,0.5243446926736195
