tc_name,confidence,aer_licinstno,aer_licence,km_to_match,km_margin_to_runner_up,multi_direction,position_from,approx_lat,approx_lon,aer_dls,aer_power_kw
BURTON CREEK,HIGH,80096-14,80096,10.6,63.5,,marker,50.029,-114.254,14-06-012-01W5,26960
CARSELAND # !! # G ! GAYFORD BEISEKER,HIGH,80143-1,80143,7.8,43.7,,marker,51.3362,-113.2715,09-24-027-25W4,20680
LEISMER EAST,HIGH,80442-7,80442,11.2,30.0,,marker,56.1337,-112.5855,12-29-081-16W4,3150
MAZEPPA,HIGH,80096-16,80096,11.5,67.1,,label,50.6817,-114.1672,08-15-020-03W5,45900
MEIKLE RIVER,HIGH,80693-3,80693,8.7,79.2,,marker,57.3117,-119.64,11-29-096-11W6,8875
XW OAKLAND,HIGH,80738-1,80738,5.2,64.2,Y,marker,51.3682,-111.6661,01-03-028-13W4,13700
BUFFALO CREEK,MEDIUM,80442-13,80442,8.2,0.1,,label,56.5609,-114.1184,10-29-086-01W5,13000
BUFFALO CREEK NORTH,MEDIUM,80442-13,80442,18.0,0.1,,label,56.5874,-114.3456,10-29-086-01W5,13000
DIDSBURY,MEDIUM,80734-1,80734,17.8,19.1,,marker,51.5889,-114.7745,15-32-028-05W5,23160
DRYWOOD,MEDIUM,80218-1,80218,20.0,46.6,,marker,49.3849,-114.2936,05-23-004-01W5,3293
ENTIC ENOR,MEDIUM,80143-1,80143,17.5,24.7,,marker,51.4238,-113.5748,09-24-027-25W4,20680
GADSBY,MEDIUM,80739-2,80739,6.4,0.0,Y,marker,52.4461,-112.1411,04-15-040-16W4,14730
HUSSAR,MEDIUM,80071-13,80071,5.5,0.1,,marker,51.1145,-112.5633,01-06-025-19W4,27060
KNIGHT,MEDIUM,80337-3,80337,9.9,0.0,,marker,53.992,-116.6035,15-28-057-17W5,12870
"LAC LA BICHE !"" SALES X FIELD LAKE",MEDIUM,80730-1,80730,20.5,0.0,,marker,54.8521,-112.111,10-06-067-12W4,3100
NORDEGG,MEDIUM,80146-3,80146,20.3,38.9,,label,52.6965,-116.0059,06-20-043-12W5,27500
"OLDS HARMATTAN APS ! !"""" Ol O ds LDS TORRINGTON",MEDIUM,80110-3,80110,22.4,0.2,,marker,51.7534,-114.0267,09-29-030-02W5,810
VETCHLAND,MEDIUM,80146-17,80146,23.3,18.3,,label,52.3446,-115.6767,06-14-039-10W5,46260
