map_name,page_x,page_y,approx_lat,approx_lon,px_to_nearest_X
ACME No.363,1386.3,2443.0,51.3613,-113.5707,104.9
AMBER VALLEY,1540.5,1669.1,54.6625,-112.3356,58.4
BA NTRY PRINCESS,1663.3,2592.1,50.7182,-111.8682,158.0
BEHAN,1689.7,1539.1,55.1881,-111.1434,37.9
BERLAND RIVER,842.5,1817.0,54.0591,-117.653,368.4
BUFFALO CREEK,1455.6,1249.3,56.4732,-112.9102,264.9
BUFFALO CREEK NORTH,1456.9,1243.2,56.4992,-112.8983,270.9
BURTON CREEK,1380.9,2776.6,49.9293,-113.6326,438.4
CARSELAND # !! # G ! GAYFORD BEISEKER,1479.0,2452.9,51.3182,-112.9734,150.2
CLEARWATER,1133.4,2297.1,51.9841,-115.2755,251.8
CLOVERBAR,1509.8,1919.0,53.5992,-112.6333,88.7
CROWSNEST No.1,1209.0,2821.5,49.7221,-114.6638,513.3
Cremona DIDSBURY,1295.3,2398.0,51.5537,-114.1665,105.2
DENNING LAKE NO.2,1683.3,1747.0,54.3064,-111.2998,136.9
DRYWOOD,1370.9,2917.3,49.3249,-113.7021,562.6
EASTPORT,1051.3,3007.5,48.8941,-115.545,746.5
ELKO No.2A,1189.2,2945.1,49.1858,-114.7581,636.8
ENTIC ENOR,1426.5,2427.6,51.4275,-113.3077,99.9
FARRELL LAKE,1601.6,2308.6,51.928,-112.1302,9.4
FRENCHMAN RIVER No.393,2343.1,2859.0,49.5154,-108.2546,805.1
G # # PEERS,1096.2,1906.7,53.6751,-115.6716,135.8
GADSBY,1623.1,2189.6,52.433,-111.9369,46.4
GOLD CREEK,701.9,1636.3,54.8437,-118.9232,280.0
GOODFISH,1196.4,1141.8,56.9805,-115.0938,355.1
"GRIZZLY SALES "" # #* FOX CREEK",965.8,1749.8,54.3565,-116.7395,334.2
GROUNDBIRCH,475.4,1397.6,55.8804,-121.0861,31.8
HUSSAR,1567.8,2493.3,51.1428,-112.4192,108.9
JARROW WAINWRIGHT ! # #* WAINWRIGHT,1848.7,2098.6,52.7874,-110.3592,274.2
JENNER No.367,1817.9,2649.2,50.4658,-110.9723,267.2
KNIGHT,1021.2,1831.2,54.0028,-116.2698,235.9
"LAC LA BICHE !"" SALES X FIELD LAKE",1671.9,1626.7,54.8195,-111.3237,60.4
LATORNELL,738.6,1687.4,54.6213,-118.5794,341.4
LEISMER EAST,1649.9,1336.8,56.0573,-111.3565,192.1
LODGEPOLE (ATCO),1122.7,2059.4,53.0135,-115.4244,28.8
MAZEPPA,1339.3,2609.7,50.6442,-113.8796,274.8
MEIKLE RIVER,761.1,1060.5,57.3748,-118.9504,289.6
MONARCH,1459.2,2802.0,49.8243,-113.1702,418.7
MOYIE No.2B,1053.5,2933.6,49.2154,-115.5624,680.0
NOEL LAKE,1161.6,1740.1,54.3953,-115.2284,296.3
NORDEGG,1073.3,2131.5,52.6994,-115.7541,116.2
No.365,1547.7,2589.7,50.7324,-112.5778,191.4
"OBED NORTH ! # "" EMERSON CREEK",975.5,1867.1,53.8458,-116.5996,234.8
"OLDS HARMATTAN APS ! !"""" Ol O ds LDS TORRINGTON",1385.0,2349.4,51.7631,-113.5716,11.6
ORTON,1465.5,2815.9,49.765,-113.1355,428.1
OTTER LAKE,1029.5,1123.2,57.082,-116.5413,455.2
PAUL LAKE,1312.7,1480.3,55.5042,-114.0846,6.9
PIAPOT No.392,2168.0,2741.4,50.0357,-109.0455,594.3
PIONEER YELLOWHEAD,1137.6,1893.0,53.7341,-115.3668,142.6
PIPESTONE CREEK,582.6,1533.3,55.2889,-120.0123,158.3
"PROGRESS "" ! SADDLE HILLS",662.5,1396.5,55.8971,-119.4887,66.8
RED DEER BIN D L RIVER O,1846.2,2517.7,51.0186,-110.7015,204.8
REDL HANMORE LAKE,1506.2,1721.8,54.4426,-112.6093,9.2
RICHMOUND No.391,2041.2,2615.4,50.5824,-109.6238,422.8
RIVER,1508.6,1530.9,55.258,-112.5429,12.6
SATURN,366.3,1320.8,56.2109,-122.1407,4.5
SLAVE LAKE,1335.9,1579.9,55.0727,-113.8987,105.9
SNIPE HILLS,1715.5,1794.2,54.0997,-111.0897,158.9
ST N 2 - B URS TALL,2013.9,2596.2,50.6669,-109.7646,389.9
STN 5 - CABRI,2144.7,2596.9,50.6427,-108.9977,512.0
STN 9 - HERBERT,2352.2,2566.9,50.724,-107.7539,705.6
SWARTZCREEK,951.4,1973.3,53.3821,-116.7214,197.7
THOMAS LAKE,1571.1,2024.3,53.1425,-112.2291,29.8
TURNER VALLEY,1273.6,2607.7,50.6499,-114.2928,290.4
VERMILION,1817.8,1976.9,53.3071,-110.4799,234.6
VETCHLAND,1122.2,2214.8,52.3402,-115.3791,179.9
WARSPITE Smoky Lake ! SMOKY LAKE,1617.9,1799.8,54.093,-111.8058,66.9
WEST MEDICINE HAT,1820.6,2733.3,50.1101,-111.0187,339.9
WINCHELL LAKE,1239.9,2424.1,51.4399,-114.5308,165.9
WOODENHOUSE,1287.5,1237.6,56.553,-114.307,239.8
X ALCES RIVER,596.6,1245.6,56.5606,-120.2199,62.3
X BENS LAKE,1657.9,1898.7,53.666,-111.5609,61.6
X DUSTY LAKE,1639.2,2053.0,53.0123,-111.7656,60.8
XW OAKLAND,1726.1,2434.9,51.381,-111.3914,66.9
YELLOWHEAD ! LODGEPOLE,1108.3,2067.4,52.9785,-115.5258,44.2
