Notice Type,Posted Date/Time,Notice Effective Date/Time,Notice End Date/Time,Notice Identifier,Subject,Response Date/Time,notice_key,detail_url,notice_type_code,notice_type,retrieved,station_2_related
Capacity Constraint,08/26/2026 07:45:57 AM,08/26/2026 07:45:57 AM,11/24/2026 07:45:57 AM,182179,"Huntingdon/Station 2 South Capacity for August 27, 2026",,182179,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=182179&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Other,08/25/2026 02:50:24 PM,08/25/2026 02:50:24 PM,11/23/2026 02:30:24 PM,182158,Non-Binding Request For Proposal,,182158,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=182158&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,08/25/2026 07:50:13 AM,08/25/2026 07:50:13 AM,11/23/2026 07:50:13 AM,182141,"Huntingdon/Station 2 South Capacity for August 26, 2026",,182141,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=182141&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/24/2026 03:11:30 PM,08/24/2026 03:11:30 PM,11/22/2026 02:48:30 PM,182135,Operationally Available Capacity for September 2026,,182135,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=182135&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,08/24/2026 08:00:19 AM,08/24/2026 08:00:19 AM,11/22/2026 08:00:19 AM,182098,"Fort St John Mainline to Station 2 (Station #1 Westbound) Capacity for August 25, 2026",,182098,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=182098&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/24/2026 07:47:46 AM,08/24/2026 07:47:46 AM,11/22/2026 07:47:46 AM,182097,"Huntingdon/Station 2 South Capacity for August 25, 2026",,182097,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=182097&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/24/2026 07:36:13 AM,08/24/2026 07:36:13 AM,08/24/2026 07:36:13 AM,182096,"Huntingdon/Station 2 South Capacity for August 24, 2026",,182096,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=182096&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Pipeline Conditions,08/24/2026 07:17:41 AM,08/24/2026 07:27:41 AM,11/21/2026 12:00:00 AM,182095,Pipeline Operational Status for 08/23/2026,,182095,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=182095&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,08/21/2026 07:58:34 AM,08/21/2026 07:58:34 AM,11/19/2026 07:58:34 AM,181991,"Huntingdon/Station 2 South Capacity for August 22-24, 2026",,181991,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181991&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/20/2026 08:17:43 AM,08/20/2026 08:17:43 AM,08/20/2026 08:17:43 AM,181952,"Huntingdon/Station 2 South Capacity for August 21, 2026",,181952,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181952&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Pipeline Conditions,08/20/2026 07:10:13 AM,08/20/2026 07:20:13 AM,11/17/2026 12:00:00 AM,181951,Pipeline Operational Status for 08/19/2026,,181951,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181951&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,08/19/2026 07:48:34 AM,08/19/2026 07:48:34 AM,11/17/2026 07:48:34 AM,181916,"Huntingdon/Station 2 South Capacity for August 20, 2026",,181916,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181916&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/18/2026 07:45:00 AM,08/18/2026 07:45:00 AM,11/16/2026 07:45:00 AM,181878,"Huntingdon/Station 2 South Capacity for August 19, 2026",,181878,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181878&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/17/2026 01:28:02 PM,08/17/2026 01:28:02 PM,11/15/2026 01:23:02 PM,181848,"Huntingdon/Station 2 South Capacity for August 19 - 31, 2026 Update",,181848,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181848&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/17/2026 07:46:00 AM,08/17/2026 07:46:00 AM,11/15/2026 07:46:00 AM,181839,"Huntingdon/Station 2 South Capacity for August 18, 2026",,181839,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181839&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/14/2026 08:05:28 AM,08/14/2026 08:05:28 AM,11/12/2026 08:05:28 AM,181738,"Sunset Creek Interconnect Capacity for August 17 - 28, 2026",,181738,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181738&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,08/14/2026 08:01:56 AM,08/14/2026 08:01:56 AM,11/12/2026 08:01:56 AM,181737,Huntingdon/Station 2 South Capacity for August 14 - 17,,181737,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181737&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Pipeline Conditions,08/13/2026 04:03:27 PM,08/13/2026 04:13:27 PM,11/10/2026 12:00:00 AM,181735,Pipeline Operational Status for 08/13/2026,,181735,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181735&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,08/13/2026 07:57:00 AM,08/13/2026 07:57:00 AM,11/11/2026 07:57:00 AM,181670,"Huntingdon/Station 2 South Capacity for August 13 - 14, 2026",,181670,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181670&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Pipeline Conditions,08/13/2026 07:22:12 AM,08/13/2026 07:32:12 AM,11/10/2026 12:00:00 AM,181669,Pipeline Operational Status for 08/12/2026,,181669,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181669&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Pipeline Conditions,08/12/2026 03:45:19 PM,08/12/2026 03:55:19 PM,11/09/2026 12:00:00 AM,181666,Pipeline Operational Status for 08/12/2026,,181666,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181666&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,08/12/2026 08:30:00 AM,08/12/2026 08:30:00 AM,11/10/2026 08:30:00 AM,181624,"Huntingdon/Station 2 South Capacity for August 12 ID1, 2026 REVISED",,181624,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181624&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/12/2026 08:18:00 AM,08/12/2026 08:18:00 AM,11/10/2026 08:18:00 AM,181623,"Huntingdon/Station 2 South Capacity for August 13, 2026",,181623,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181623&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Pipeline Conditions,08/12/2026 07:43:44 AM,08/12/2026 07:53:44 AM,11/09/2026 12:00:00 AM,181622,Pipeline Operational Status for 08/11/2026,,181622,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181622&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,08/11/2026 08:10:20 AM,08/11/2026 08:10:20 AM,11/09/2026 08:10:20 AM,181583,"RE-ESTABLISHMENT Sunset Creek Interconnect Capacity for August 12, 2026",,181583,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181583&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,08/11/2026 08:07:00 AM,08/11/2026 08:07:00 AM,11/09/2026 08:07:00 AM,181582,"RE-ESTABLISHMENT Fort St John Mainline to Station 2 (Station #1 Westbound) Capacity for August 12, 2026",,181582,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181582&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/11/2026 07:41:26 AM,08/11/2026 07:41:26 AM,11/09/2026 07:41:26 AM,181581,"Huntingdon/Station 2 South Capacity for August 12, 2026",,181581,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181581&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,08/10/2026 07:43:30 AM,08/10/2026 07:43:30 AM,11/08/2026 07:43:30 AM,181528,"Huntingdon/Station 2 South Capacity for August 11, 2026",,181528,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=181528&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
